transaction_id,amount,customer_age,customer_transaction_count,customer_avg_amount,device_age_days,new_device,failed_attempts,transactions_last_1h,transactions_last_24h,location_changed,hour,payment_method,merchant_category,is_fraud
TXN100051,746.14,25,264,191.99,1054,0,0,1,4,0,2,card,travel,0
TXN100052,557.29,55,136,395.38,747,0,2,3,7,0,12,upi,grocery,0
TXN100053,2021.66,35,248,1561.68,59,0,0,1,4,0,20,netbanking,food,0
TXN100054,3074.81,46,199,1002.58,909,0,0,1,2,0,13,upi,electronics,0
TXN100055,2782.99,28,76,966.08,300,0,1,0,7,0,12,upi,electronics,0
TXN100056,473.8,23,94,653.48,87,0,1,2,1,0,10,wallet,food,0
TXN100057,804.96,26,18,756.23,189,0,0,0,5,0,5,card,travel,0
TXN100058,1527.31,39,172,1899.5,732,0,0,4,4,0,3,upi,travel,0
TXN100059,2908.94,63,148,608.03,993,0,2,2,2,0,7,upi,services,0
TXN100060,679.14,68,2,672.51,836,0,1,0,6,0,17,wallet,electronics,0
TXN100061,910.82,42,30,1443.71,70,0,0,3,4,0,0,upi,services,0
TXN100062,362.73,48,172,648.94,1138,0,1,2,3,0,17,card,food,0
TXN100063,331.55,38,250,502.22,366,0,0,1,5,0,13,card,grocery,0
TXN100064,2471.36,55,47,555.41,464,0,0,3,5,1,13,card,services,0
TXN100065,4256.66,69,299,588.26,894,1,0,2,6,1,8,card,fashion,0
TXN100066,1020.44,36,11,310.87,640,0,2,1,7,0,14,upi,food,0
TXN100067,2991.51,27,275,214.57,927,0,1,1,5,0,12,card,electronics,0
TXN100068,1574.41,63,4,649.65,706,1,0,1,3,0,14,upi,grocery,0
TXN100069,575.29,54,166,857.13,127,1,3,1,5,0,17,card,grocery,0
TXN100070,1574.03,29,201,1205.0,1371,1,1,1,3,0,0,wallet,fashion,0
TXN100071,5105.31,36,162,321.67,234,0,1,1,4,0,12,upi,services,0
TXN100072,1058.04,19,239,1880.51,694,0,0,1,9,0,15,card,electronics,0
TXN100073,5242.97,32,104,185.65,398,0,1,1,3,0,13,card,food,1
TXN100074,79.86,55,37,1134.22,1463,1,1,3,2,0,8,upi,travel,0
TXN100075,2494.65,25,224,681.17,550,0,0,2,3,1,11,card,travel,0
TXN100076,1196.37,63,59,594.27,533,0,0,3,1,0,5,netbanking,services,0
TXN100077,813.21,52,220,316.04,1212,0,1,3,5,1,10,card,food,0
TXN100078,1202.02,55,274,588.77,689,0,1,0,1,0,16,card,services,0
TXN100079,150.27,60,25,540.08,731,0,1,1,8,0,12,upi,travel,0
TXN100080,880.36,47,207,1387.55,273,0,0,1,3,0,16,upi,services,0
TXN100081,1567.3,26,25,409.99,828,1,0,1,2,0,19,upi,services,0
TXN100082,4807.32,47,84,436.09,778,1,1,1,4,0,15,wallet,grocery,0
TXN100083,653.1,66,248,890.49,678,0,0,1,5,0,17,upi,grocery,0
TXN100084,488.58,36,248,524.74,449,0,1,0,8,0,3,upi,services,0
TXN100085,663.97,46,51,331.21,684,0,0,2,6,0,1,netbanking,fashion,0
TXN100086,2739.15,19,10,182.14,1314,0,0,0,5,0,16,card,food,0
TXN100087,1523.48,45,177,2235.74,614,0,2,0,6,0,7,card,travel,0
TXN100088,645.64,25,125,769.66,1246,0,0,2,4,0,21,netbanking,travel,0
TXN100089,1832.19,42,166,1974.44,1054,0,1,1,5,0,23,upi,grocery,0
TXN100090,1208.43,27,126,781.87,457,0,1,2,6,0,9,upi,services,0
TXN100091,2888.94,39,247,1297.49,1259,0,0,1,2,0,17,netbanking,fashion,0
TXN100092,543.45,52,70,2230.76,1297,0,0,3,3,0,21,upi,travel,0
TXN100093,790.24,59,11,1339.43,222,0,1,2,8,0,4,card,electronics,0
TXN100094,740.92,41,83,2047.17,1344,0,0,2,5,0,19,upi,services,0
TXN100095,253.78,43,160,1868.39,1369,0,1,1,6,0,0,card,services,0
TXN100096,1474.57,48,58,361.64,688,0,2,1,3,0,11,upi,travel,0
TXN100097,1423.76,40,79,617.18,575,1,1,2,4,0,20,upi,electronics,0
TXN100098,1102.26,19,185,1641.05,1286,0,1,5,6,0,15,upi,travel,0
TXN100099,867.32,56,77,427.84,312,0,2,0,6,0,21,netbanking,services,0
TXN100100,266.3,50,71,672.36,1148,0,0,1,3,0,21,upi,grocery,0
TXN100101,720.07,41,116,647.97,1363,0,0,0,9,0,4,card,travel,0
TXN100102,778.43,29,185,644.1,560,1,0,1,5,0,9,upi,services,0
TXN100103,491.63,54,15,846.71,20,0,0,1,5,0,8,card,fashion,0
TXN100104,933.29,26,3,656.31,779,0,1,0,5,0,4,wallet,services,0
TXN100105,1642.63,61,58,437.39,972,0,0,0,3,0,6,upi,food,0
TXN100106,7231.39,60,283,905.51,1226,0,1,0,4,0,3,card,fashion,0
TXN100107,1305.81,61,188,614.4,717,0,0,1,1,0,8,card,food,0
TXN100108,1418.78,20,259,1591.16,1269,1,1,1,8,0,1,netbanking,electronics,0
TXN100109,1017.96,61,175,603.38,1017,0,1,0,5,0,6,card,food,0
TXN100110,160.97,40,65,1018.16,503,0,1,1,5,1,21,upi,travel,0
TXN100111,1067.94,41,11,569.88,158,0,3,1,9,0,12,netbanking,grocery,0
TXN100112,1164.71,50,281,176.23,642,0,0,2,2,0,2,netbanking,fashion,0
TXN100113,12877.57,47,191,1010.75,1268,0,1,3,5,0,9,card,grocery,0
TXN100114,904.73,55,4,2256.87,1322,0,0,0,6,0,2,card,services,0
TXN100115,1482.59,60,54,741.3,687,0,0,0,4,0,9,upi,travel,0
TXN100116,1059.22,19,60,1033.72,22,0,0,1,4,0,8,card,travel,0
TXN100117,340.81,57,156,750.2,956,0,1,2,5,0,18,upi,grocery,0
TXN100118,3438.61,39,138,663.76,270,1,1,0,1,0,13,upi,grocery,1
TXN100119,2326.06,28,164,1908.19,813,0,0,2,6,0,12,card,grocery,0
TXN100120,2418.81,29,80,1133.16,761,0,0,1,5,0,6,card,grocery,0
TXN100121,441.69,36,173,559.97,439,0,0,0,3,1,11,upi,food,0
TXN100122,4459.51,37,179,368.98,350,1,0,0,6,0,7,upi,electronics,0
TXN100123,269.93,26,46,2459.58,1004,0,0,1,5,0,19,card,travel,0
TXN100124,1972.11,60,256,760.65,13,1,2,3,10,0,6,netbanking,food,0
TXN100125,9803.12,35,132,1262.7,989,1,0,2,8,0,22,card,food,0
TXN100126,407.26,58,170,306.97,47,0,0,0,4,0,12,card,food,0
TXN100127,622.47,64,136,141.51,151,0,0,2,6,0,12,card,grocery,0
TXN100128,1211.54,35,105,349.92,948,0,3,3,7,0,22,upi,electronics,0
TXN100129,662.83,57,26,1035.78,558,0,0,0,6,0,2,card,grocery,0
TXN100130,232.6,53,1,441.21,639,0,1,3,7,0,18,upi,services,0
TXN100131,1174.46,44,254,300.9,337,0,1,1,8,0,5,card,travel,0
TXN100132,379.06,30,211,673.93,1402,1,1,1,3,0,10,wallet,fashion,0
TXN100133,1760.92,64,210,641.27,1086,0,1,1,7,0,13,card,electronics,0
TXN100134,437.28,25,90,1295.02,458,0,0,4,8,0,9,netbanking,electronics,0
TXN100135,5166.42,65,39,609.36,408,1,0,0,5,0,8,wallet,food,0
TXN100136,501.07,60,27,1704.68,294,0,0,3,2,0,23,netbanking,food,0
TXN100137,794.68,40,198,1307.6,11,0,0,0,9,0,12,upi,services,0
TXN100138,2473.82,30,230,367.68,751,0,0,1,4,0,16,netbanking,services,0
TXN100139,320.26,24,16,2301.04,1108,0,1,2,8,0,16,card,electronics,0
TXN100140,1376.72,67,22,1928.19,329,0,1,0,6,0,20,card,grocery,0
TXN100141,4052.72,57,73,622.27,1388,0,1,2,4,0,17,upi,travel,0
TXN100142,219.76,19,184,1425.76,918,0,0,5,4,0,3,upi,food,0
TXN100143,1319.01,20,135,2614.04,864,0,0,0,9,0,8,card,electronics,0
TXN100144,1422.09,59,1,1118.77,356,0,0,1,3,0,2,upi,grocery,0
TXN100145,2396.64,56,208,698.51,1364,0,2,2,3,0,16,upi,electronics,0
TXN100146,318.32,40,14,687.53,213,1,1,1,3,0,4,card,electronics,0
TXN100147,292.82,24,222,312.78,400,1,0,2,4,0,22,upi,services,0
TXN100148,1848.15,21,244,1427.83,376,0,0,3,3,0,21,upi,fashion,0
TXN100149,1475.84,25,147,1071.62,1003,0,1,4,5,1,22,upi,electronics,0
TXN100150,1408.8,49,275,508.5,1274,0,1,1,3,0,13,card,services,0
TXN100151,1550.68,36,77,281.46,611,0,0,3,7,0,22,card,services,1
TXN100152,555.56,29,108,249.62,539,0,1,0,4,0,9,netbanking,fashion,0
TXN100153,1383.34,27,111,414.43,810,0,0,0,5,0,22,card,services,0
TXN100154,1470.08,31,125,691.9,1140,0,1,1,6,0,6,upi,services,0
TXN100155,536.81,44,93,1105.27,1451,1,0,1,4,0,9,upi,food,0
TXN100156,7085.28,61,237,1573.43,696,0,0,2,3,0,2,upi,electronics,0
TXN100157,1761.34,38,248,1143.14,1488,0,1,4,4,0,14,upi,grocery,0
TXN100158,333.18,37,143,1593.1,525,0,1,4,12,0,23,netbanking,services,0
TXN100159,2114.46,21,209,746.12,922,0,1,2,8,0,13,card,travel,0
TXN100160,413.77,36,23,648.96,1079,0,0,2,6,0,13,card,grocery,0
TXN100161,2409.28,46,10,742.85,374,0,0,0,11,0,21,wallet,fashion,0
TXN100162,3493.28,24,256,253.89,1246,0,2,1,1,0,21,upi,electronics,0
TXN100163,482.66,50,177,1416.83,1198,0,0,1,11,1,15,netbanking,fashion,0
TXN100164,2873.76,25,254,435.39,907,0,0,4,7,0,23,card,electronics,0
TXN100165,1657.03,28,290,475.52,622,0,0,0,9,0,5,netbanking,electronics,0
TXN100166,2495.04,50,95,542.76,1109,0,1,0,4,0,20,wallet,travel,0
TXN100167,7308.5,42,295,2283.51,1095,0,0,1,5,0,15,card,travel,0
TXN100168,858.01,50,80,371.9,15,0,1,1,8,0,2,card,food,0
TXN100169,516.08,53,218,703.27,664,0,0,3,5,0,4,upi,services,0
TXN100170,450.56,43,209,643.72,989,0,1,3,7,1,23,card,services,0
TXN100171,485.02,53,100,521.89,369,0,0,1,4,1,10,upi,grocery,0
TXN100172,1015.26,28,23,1081.76,1196,0,0,3,2,0,6,card,travel,1
TXN100173,1542.49,47,281,251.09,689,0,0,1,7,0,1,upi,grocery,0
TXN100174,1446.19,50,197,1646.46,1234,0,1,1,0,0,21,card,electronics,0
TXN100175,2507.86,27,247,686.88,1372,0,0,2,5,0,6,upi,fashion,0
TXN100176,1110.98,46,90,731.13,120,0,1,2,5,0,9,card,food,0
TXN100177,4691.62,42,253,1575.55,851,0,4,0,9,0,7,card,fashion,0
TXN100178,841.63,49,6,1440.94,288,0,1,3,8,0,21,upi,services,0
TXN100179,16650.06,21,19,456.11,1216,0,1,0,4,0,2,upi,services,0
TXN100180,2050.15,56,275,176.62,1055,0,0,0,3,0,16,upi,grocery,0
TXN100181,465.37,51,110,685.19,796,1,0,3,6,0,13,upi,food,0
TXN100182,375.82,39,95,604.47,1381,0,0,1,3,0,2,card,fashion,0
TXN100183,1776.63,30,87,442.01,790,0,0,0,6,0,23,card,travel,1
TXN100184,877.03,68,13,836.19,1225,0,1,2,7,0,20,card,travel,0
TXN100185,2239.48,53,195,926.39,907,0,0,2,6,0,6,upi,electronics,0
TXN100186,1760.3,23,76,555.08,482,0,0,6,2,1,4,upi,travel,0
TXN100187,1019.61,34,229,810.64,174,0,0,3,5,0,15,card,food,0
TXN100188,470.22,43,159,1473.96,456,0,2,2,6,0,18,upi,grocery,0
TXN100189,241.09,41,23,2151.58,1098,0,1,0,1,0,10,card,travel,0
TXN100190,701.69,26,205,406.41,906,0,0,4,8,0,15,upi,electronics,0
TXN100191,2582.2,19,240,1439.77,421,0,0,2,1,1,12,wallet,food,0
TXN100192,1358.44,37,195,533.55,378,0,1,1,4,0,20,card,fashion,0
TXN100193,315.53,44,199,353.44,707,1,0,0,7,0,14,upi,food,0
TXN100194,1303.99,23,138,1067.37,466,0,1,3,6,0,18,card,services,0
TXN100195,1612.14,67,223,362.99,5,0,0,3,6,0,5,upi,grocery,0
TXN100196,453.11,44,215,225.01,1366,1,2,2,6,0,5,upi,electronics,0
TXN100197,1278.86,41,8,564.14,1350,0,0,1,7,0,23,netbanking,fashion,0
TXN100198,1162.36,32,216,452.73,108,0,1,2,8,0,15,upi,electronics,0
TXN100199,349.68,65,284,765.9,1254,0,0,0,8,0,10,card,grocery,0
TXN100200,1568.36,50,255,737.96,782,0,1,2,3,0,20,card,services,0
TXN100201,1921.35,59,205,1157.81,1288,0,0,2,2,0,7,card,electronics,0
TXN100202,3239.1,27,161,212.99,1109,0,1,1,4,0,12,netbanking,fashion,0
TXN100203,3145.73,38,114,557.2,1418,0,3,2,6,0,18,card,services,1
TXN100204,276.53,23,245,191.73,1040,0,2,1,3,0,3,upi,services,0
TXN100205,429.31,47,203,879.99,328,0,2,2,4,1,23,upi,electronics,0
TXN100206,1835.43,40,217,1247.48,1325,0,2,0,6,0,22,upi,fashion,0
TXN100207,1833.14,53,145,560.76,338,0,2,2,3,0,20,card,services,0
TXN100208,1835.46,63,134,452.78,1373,0,1,2,4,0,13,card,travel,0
TXN100209,51675.11,66,174,306.72,469,0,0,1,6,0,8,upi,electronics,0
TXN100210,1940.87,20,270,1625.55,651,0,3,1,5,0,8,card,travel,0
TXN100211,3413.75,43,165,1235.9,99,0,1,2,3,0,13,netbanking,electronics,0
TXN100212,2846.94,51,107,1134.92,1286,0,2,0,5,0,0,upi,services,0
TXN100213,2103.57,47,248,1114.17,885,0,0,3,12,0,9,wallet,food,0
TXN100214,800.1,35,29,803.77,1000,0,0,2,4,1,5,card,food,0
TXN100215,2342.49,34,220,2840.67,602,0,3,0,10,0,13,upi,grocery,0
TXN100216,506.32,62,209,1165.16,945,0,0,1,5,0,16,card,travel,0
TXN100217,865.39,68,49,469.41,1024,1,1,3,9,1,3,wallet,services,1
TXN100218,674.95,59,2,214.75,589,0,0,3,9,0,10,card,food,0
TXN100219,1190.2,38,198,115.31,816,0,2,1,14,0,19,card,electronics,0
TXN100220,11099.54,41,89,535.32,1217,0,2,0,8,0,20,netbanking,electronics,0
TXN100221,169.48,21,211,1017.4,342,0,2,0,3,0,23,card,services,0
TXN100222,2178.21,66,70,1295.6,665,0,1,2,6,0,2,upi,travel,0
TXN100223,218.61,65,193,580.94,920,1,0,2,5,0,9,netbanking,food,0
TXN100224,684.08,42,46,314.51,718,0,1,0,6,0,9,netbanking,food,0
TXN100225,3258.27,68,63,258.38,924,0,1,2,7,0,4,upi,food,0
TXN100226,1169.44,41,119,658.28,504,1,0,2,5,0,7,upi,grocery,0
TXN100227,373.25,63,226,738.55,959,0,1,2,7,0,3,upi,services,0
TXN100228,536.3,69,27,123.23,923,0,2,1,11,1,0,card,fashion,0
TXN100229,2163.75,44,191,673.09,166,0,0,1,7,0,10,card,electronics,0
TXN100230,528.28,48,279,1261.28,1347,0,2,3,4,0,12,upi,food,0
TXN100231,1361.66,64,228,737.36,1245,1,2,1,9,0,19,upi,services,0
TXN100232,1147.76,68,224,665.42,316,0,2,2,3,0,0,upi,electronics,0
TXN100233,571.58,52,295,804.28,393,1,1,1,7,0,5,upi,services,1
TXN100234,9357.6,69,58,936.4,489,0,1,1,4,0,3,netbanking,grocery,0
TXN100235,2067.14,37,209,414.67,521,0,1,1,6,0,4,card,electronics,0
TXN100236,144.73,33,142,1881.39,1272,0,0,0,6,0,11,upi,services,0
TXN100237,1321.41,48,150,986.51,1365,0,0,3,3,0,17,upi,travel,0
TXN100238,565.78,24,17,683.79,463,0,0,2,10,0,8,card,food,0
TXN100239,2571.99,35,240,706.75,1254,0,1,5,6,0,13,card,services,0
TXN100240,496.45,25,38,510.36,765,1,2,1,2,0,2,wallet,electronics,0
TXN100241,977.76,44,287,1824.51,250,1,0,3,4,1,4,card,services,1
TXN100242,1817.08,31,98,1674.52,423,0,1,1,5,0,11,netbanking,grocery,0
TXN100243,2606.48,35,58,687.0,170,0,2,2,7,0,22,upi,grocery,0
TXN100244,330.2,18,17,979.31,12,1,1,1,9,0,19,upi,grocery,0
TXN100245,784.85,48,120,3027.4,670,0,2,3,6,0,9,netbanking,fashion,0
TXN100246,682.02,37,23,943.38,1382,1,0,3,5,0,12,card,grocery,0
TXN100247,570.59,23,210,257.89,1306,0,1,0,5,0,9,card,fashion,0
TXN100248,6408.97,62,213,1088.51,189,0,2,0,5,0,14,upi,electronics,0
TXN100249,1644.15,18,148,212.64,824,0,0,2,5,0,15,upi,food,0
TXN100250,310.79,36,96,344.14,387,0,2,2,3,0,5,card,services,0
TXN100251,2745.89,56,260,626.57,495,0,0,1,4,0,19,netbanking,services,0
TXN100252,9155.92,44,73,791.07,866,0,3,0,3,0,19,upi,grocery,0
TXN100253,3079.32,33,49,1424.39,294,0,0,4,4,0,19,card,electronics,0
TXN100254,240.0,31,222,2730.89,640,0,1,0,5,0,21,card,electronics,0
TXN100255,675.71,51,282,764.67,1237,1,1,1,3,0,7,card,grocery,0
TXN100256,3892.91,24,32,826.77,21,0,1,0,5,0,4,upi,food,0
TXN100257,540.41,37,28,1072.14,1101,0,1,0,8,0,11,upi,fashion,0
TXN100258,1709.27,48,168,376.49,130,0,0,0,3,0,20,upi,services,0
TXN100259,2379.47,39,37,363.81,549,0,0,0,4,0,7,upi,grocery,0
TXN100260,434.01,37,234,470.31,1400,0,1,0,3,0,19,card,fashion,0
TXN100261,1033.26,32,179,625.9,565,1,0,2,6,0,9,card,electronics,0
TXN100262,42.89,42,57,332.72,840,0,0,1,3,0,12,card,services,0
TXN100263,393.71,63,233,517.64,1321,0,0,4,7,0,11,upi,grocery,0
TXN100264,851.87,18,72,943.41,1186,0,1,1,10,0,0,card,electronics,0
TXN100265,314.89,34,195,997.38,188,0,0,3,2,0,7,upi,services,0
TXN100266,5610.59,33,3,452.14,553,0,0,1,7,0,16,card,food,0
TXN100267,262.4,54,202,371.52,1043,0,0,3,4,0,15,card,food,0
TXN100268,706.24,38,191,223.68,1300,0,0,0,3,0,12,card,food,0
TXN100269,1249.8,44,207,901.59,1413,0,0,1,5,0,11,upi,fashion,0
TXN100270,4634.45,52,111,803.51,21,0,0,1,5,1,19,card,services,0
TXN100271,260.9,41,51,430.66,1252,0,2,1,6,0,20,upi,services,0
TXN100272,3509.27,69,238,199.52,854,1,2,1,4,0,5,wallet,food,0
TXN100273,1107.91,68,134,943.39,887,0,0,0,4,0,14,upi,food,0
TXN100274,410.96,19,281,873.69,1050,0,0,2,1,0,20,card,grocery,0
TXN100275,1740.81,63,226,385.52,610,0,1,1,3,0,6,upi,travel,0
TXN100276,1338.17,42,26,310.05,945,0,0,0,4,0,20,netbanking,travel,0
TXN100277,601.71,36,216,2301.77,139,0,1,3,11,0,18,upi,food,0
TXN100278,1175.92,62,80,632.26,109,0,1,3,1,0,5,card,fashion,0
TXN100279,745.97,30,292,361.15,255,0,0,0,4,0,9,card,travel,0
TXN100280,1228.46,46,21,979.92,1320,0,0,1,10,1,7,upi,electronics,0
TXN100281,2126.28,49,222,268.62,1202,0,0,1,5,0,21,wallet,travel,0
TXN100282,5356.24,23,49,675.97,97,0,1,2,7,0,3,wallet,electronics,0
TXN100283,318.04,26,60,900.12,719,0,3,0,4,0,3,card,grocery,0
TXN100284,9256.06,69,242,761.33,355,0,0,2,3,0,3,card,grocery,0
TXN100285,155.7,18,19,655.19,1138,1,1,4,3,0,0,wallet,food,0
TXN100286,942.2,41,78,492.5,241,1,0,1,4,1,13,netbanking,fashion,0
TXN100287,1974.99,27,131,476.7,280,0,0,3,5,0,16,upi,fashion,0
TXN100288,1452.43,52,214,1764.87,877,0,0,1,4,0,9,upi,services,0
TXN100289,588.34,23,128,415.56,473,1,0,2,7,0,3,card,fashion,0
TXN100290,890.58,65,107,543.52,144,0,1,1,5,0,1,upi,electronics,0
TXN100291,669.81,37,181,176.67,421,1,0,1,6,0,13,upi,fashion,0
TXN100292,608.28,55,194,2405.98,485,0,1,4,5,0,10,card,fashion,0
TXN100293,2564.71,29,45,597.2,765,0,0,3,5,0,12,card,electronics,0
TXN100294,1567.15,20,57,857.01,620,0,0,0,5,0,9,wallet,travel,0
TXN100295,548.45,35,183,2161.44,716,0,1,1,6,0,23,card,travel,0
TXN100296,2696.2,38,275,439.13,557,0,0,1,4,0,23,card,food,0
TXN100297,1491.14,52,5,320.08,822,0,2,0,2,0,1,card,services,0
TXN100298,2472.2,54,154,934.72,345,1,1,1,9,0,13,card,food,0
TXN100299,2058.29,36,19,807.44,1313,0,1,1,4,0,22,card,fashion,0
TXN100300,478.67,42,31,2418.82,259,0,0,1,3,0,2,netbanking,travel,0
TXN100301,626.29,35,147,795.52,769,0,0,1,9,0,11,netbanking,electronics,0
TXN100302,2315.3,57,125,1108.27,313,0,0,1,3,0,22,upi,fashion,0
TXN100303,2019.03,47,25,745.12,867,0,2,2,4,0,14,netbanking,fashion,0
TXN100304,1073.95,59,153,374.56,140,0,0,2,3,0,12,upi,grocery,0
TXN100305,1233.15,68,237,245.28,253,0,0,2,3,0,0,upi,food,0
TXN100306,3935.0,59,214,1134.3,1316,0,0,1,3,0,10,netbanking,services,0
TXN100307,606.94,51,141,339.91,392,0,0,2,3,0,18,upi,electronics,0
TXN100308,1895.23,27,298,995.18,135,0,0,3,12,0,18,card,travel,0
TXN100309,895.88,39,143,691.65,945,0,1,1,12,0,6,card,fashion,0
TXN100310,882.11,67,23,627.44,1213,0,0,0,7,0,14,card,services,0
TXN100311,3290.44,21,284,530.72,96,1,0,0,6,0,5,upi,electronics,0
TXN100312,2503.43,20,112,401.13,285,0,2,0,8,1,6,upi,grocery,0
TXN100313,2473.8,66,269,885.51,592,0,1,2,2,0,1,upi,food,0
TXN100314,4045.98,66,96,517.35,635,0,0,2,4,0,20,upi,grocery,0
TXN100315,1119.91,45,172,665.01,226,0,1,0,6,0,10,upi,grocery,0
TXN100316,2168.85,39,291,1813.1,501,0,1,2,2,0,13,upi,electronics,0
TXN100317,804.11,29,235,976.77,1431,0,0,2,6,0,5,upi,fashion,0
TXN100318,1516.51,66,87,564.57,620,0,1,1,4,0,22,upi,travel,0
TXN100319,962.81,30,296,520.23,1045,0,0,2,3,0,8,card,grocery,0
TXN100320,1208.33,58,198,432.92,323,0,0,3,5,0,3,card,fashion,0
TXN100321,1988.54,50,221,369.67,178,0,1,2,3,0,2,wallet,fashion,0
TXN100322,483.85,64,298,894.63,757,0,0,1,2,0,0,upi,fashion,0
TXN100323,8887.38,36,143,215.37,1224,1,1,2,4,0,1,upi,travel,1
TXN100324,401.01,58,60,895.89,627,0,0,1,3,0,12,upi,fashion,0
TXN100325,325.65,34,289,2355.86,1423,0,0,1,3,0,4,upi,travel,0
TXN100326,3491.58,64,2,1397.31,564,0,2,2,6,0,1,netbanking,services,0
TXN100327,2420.34,51,153,309.31,687,0,0,1,2,0,3,upi,travel,0
TXN100328,2046.98,21,254,2826.74,186,0,0,3,8,0,8,card,grocery,0
TXN100329,2055.65,56,59,1143.42,1491,0,1,3,10,0,4,card,electronics,0
TXN100330,1083.28,25,251,306.8,300,0,0,1,5,0,6,card,electronics,0
TXN100331,447.08,50,25,239.15,444,1,0,3,7,0,10,card,grocery,0
TXN100332,1182.99,18,133,427.36,81,0,1,1,4,0,17,upi,grocery,0
TXN100333,557.15,22,243,692.14,1247,0,0,2,4,0,0,card,grocery,0
TXN100334,2907.71,49,62,951.21,1098,0,2,1,6,0,21,card,fashion,0
